Date,Open,High,Low,Close,Volume
2024-12-20,74685,75088,74206,74453,5928065
2024-12-23,74453,75028,74318,74610,3868188
2024-12-24,74610,75098,73957,74373,3903605
2024-12-25,74373,74824,73906,74177,7938852
2024-12-26,74177,74693,73875,73900,4480017
2024-12-27,73900,73998,73210,73548,4437772
2024-12-30,73548,74120,72543,72820,3853804
2024-12-31,72820,73249,72278,72526,2573182
2025-01-01,72526,73004,71690,71968,7443061
2025-01-02,71968,72388,71843,72088,7683409
2025-01-03,72088,72540,71704,72160,7056907
2025-01-06,72160,72355,71858,71896,2654335
2025-01-07,71896,72372,71344,71997,5414595
2025-01-08,71997,72223,71347,71428,4243326
2025-01-09,71428,71431,70433,70825,2130300
2025-01-10,70825,71375,69846,70342,6954690
2025-01-13,70342,70701,69938,70015,6754009
2025-01-14,70015,70342,69567,69597,2006289
2025-01-15,69597,69653,69197,69515,6720314
2025-01-16,69515,69947,68787,69328,6063254
2025-01-17,69328,69692,69085,69481,7152358
2025-01-20,69481,70067,68916,69560,6867292
2025-01-21,69560,69614,69053,69532,7607340
2025-01-22,69532,69795,69105,69683,7797898
2025-01-23,69683,70298,69417,69810,7440763
2025-01-24,69810,69973,68909,69401,4162237
2025-01-27,69401,69952,68796,69347,2359213
2025-01-28,69347,69761,68837,69552,4337335
2025-01-29,69552,70137,69023,69102,7299097
2025-01-30,69102,69683,69017,69035,5324231
2025-01-31,69035,69304,68957,69113,3195288
2025-02-03,69113,69356,69021,69287,4785817
2025-02-04,69287,69625,68561,69149,6258691
2025-02-05,69149,69746,68641,68930,5713667
2025-02-06,68930,68983,68760,68957,7260285
2025-02-07,68957,69884,68378,69355,3891106
2025-02-10,69355,69600,68652,69150,7233377
2025-02-11,69150,69647,68522,68794,7027469
2025-02-12,68794,69643,68644,69109,7268531
2025-02-13,69109,69482,68493,68861,4758235
2025-02-14,68861,69462,68454,69190,3696341
2025-02-17,69190,69274,69107,69175,2656263
2025-02-18,69175,69597,68964,69289,4810970
2025-02-19,69289,69680,68913,69588,6650264
2025-02-20,69588,70091,69012,69602,4030725
2025-02-21,69602,69771,69322,69568,5322025
2025-02-24,69568,69653,68833,69389,4317307
2025-02-25,69389,70155,69102,69793,7461376
2025-02-26,69793,70420,69726,69926,4838234
2025-02-27,69926,70335,69297,69866,2593298
2025-02-28,69866,70331,69639,69898,5251116
2025-03-03,69898,70694,69806,70103,5776904
2025-03-04,70103,70409,69788,70124,3960696
2025-03-05,70124,70677,70019,70512,4906065
2025-03-06,70512,70586,70248,70352,3347650
2025-03-07,70352,70788,70132,70351,7344820
2025-03-10,70351,70616,70172,70195,7167889
2025-03-11,70195,70288,69708,70051,6029222
2025-03-12,70051,71170,70025,70653,5381257
2025-03-13,70653,71812,70607,71291,2748127
2025-03-14,71291,72187,71217,72009,3616035
2025-03-17,72009,72100,71760,71909,2928973
2025-03-18,71909,72699,71652,72323,2481284
2025-03-19,72323,73045,71792,72611,5404105
2025-03-20,72611,73053,72307,72761,2214485
2025-03-21,72761,73615,72409,73440,2650635
2025-03-24,73440,74590,73164,74078,6801085
2025-03-25,74078,74474,73729,74107,3059893
2025-03-26,74107,74136,73825,73966,7502085
2025-03-27,73966,74378,73479,74321,7305918
2025-03-28,74321,74851,74172,74299,4492303
2025-03-31,74299,75044,74202,74750,2857415
2025-04-01,74750,75705,74626,75419,4493891
2025-04-02,75419,75552,75312,75527,6187978
2025-04-03,75527,75948,75308,75939,3351231
2025-04-04,75939,76593,75385,76324,2225668
2025-04-07,76324,76475,76099,76119,4767213
2025-04-08,76119,76882,75541,76301,3564091
2025-04-09,76301,77012,75795,76639,2381240
2025-04-10,76639,76742,76199,76429,4480250
2025-04-11,76429,76948,75935,76757,6530238
2025-04-14,76757,76913,76268,76814,2038708
2025-04-15,76814,77599,76690,77277,5531144
2025-04-16,77277,77952,77161,77600,6462464
2025-04-17,77600,78220,77378,78115,4839965
2025-04-18,78115,78584,77722,78163,2049364
2025-04-21,78163,78814,77719,78246,6432491
2025-04-22,78246,78314,77659,78030,5229615
2025-04-23,78030,78761,77709,78190,4238062
2025-04-24,78190,78429,77810,78328,7278989
2025-04-25,78328,78344,77926,78281,7708575
2025-04-28,78281,78735,77963,78510,2527337
2025-04-29,78510,78570,78363,78425,7425994
2025-04-30,78425,79206,77852,78660,7937943
2025-05-01,78660,79244,78515,78755,4745355
2025-05-02,78755,78801,78136,78621,6537340
2025-05-05,78621,79316,78047,78915,6671340
2025-05-06,78915,79407,78345,78416,6751449
2025-05-07,78416,78710,78320,78342,4588060
2025-05-08,78342,78764,77718,77866,2825959
2025-05-09,77866,78258,77466,77652,2587930
2025-05-12,77652,78081,76617,77059,6334804
2025-05-13,77059,77668,76633,77341,6853681
2025-05-14,77341,77653,77068,77547,4157726
2025-05-15,77547,78048,77084,77104,2551883
2025-05-16,77104,77555,76810,76831,5646154
2025-05-19,76831,77240,76613,77053,3871780
2025-05-20,77053,77483,76525,77168,7760208
2025-05-21,77168,77231,76975,77000,6633941
2025-05-22,77000,77428,76553,77001,3222057
2025-05-23,77001,77284,76532,77144,5048569
2025-05-26,77144,77330,76020,76540,4191837
2025-05-27,76540,76946,75734,75862,3653810
2025-05-28,75862,75955,75319,75750,5987322
2025-05-29,75750,76172,75516,75586,6195828
2025-05-30,75586,75841,74669,75179,4832449
2025-06-02,75179,75629,74907,75051,6928794
2025-06-03,75051,75460,74088,74444,5039847
2025-06-04,74444,74942,73699,73795,3109173
2025-06-05,73795,74254,73497,73938,6022625
2025-06-06,73938,74537,73444,73610,3173737
2025-06-09,73610,73972,72987,73161,4477778
2025-06-10,73161,73387,72689,72782,2384177
2025-06-11,72782,72810,72082,72593,5048196
2025-06-12,72593,72779,71714,72220,4165513
2025-06-13,72220,72247,71430,71568,4116892
2025-06-16,71568,71992,70823,70935,7041236
2025-06-17,70935,71449,70518,71129,2543739
2025-06-18,71129,71397,70467,70619,4122322
2025-06-19,70619,71011,69968,70065,2369739
2025-06-20,70065,70562,69539,69800,6547552
2025-06-23,69800,70117,69058,69606,2258060
2025-06-24,69606,70217,69126,69826,5955570
2025-06-25,69826,69908,69432,69793,4407072
2025-06-26,69793,70400,69726,69846,5619774
2025-06-27,69846,70116,69346,69596,7109944
2025-06-30,69596,69634,69081,69596,2878557
2025-07-01,69596,70008,69380,69709,6381677
2025-07-02,69709,70178,68715,69256,3451414
2025-07-03,69256,69540,68736,69231,5331259
2025-07-04,69231,69473,68713,69387,4066445
2025-07-07,69387,69525,69143,69503,2418693
2025-07-08,69503,70247,69151,69735,3342340
2025-07-09,69735,70070,69322,69709,2057644
2025-07-10,69709,70059,69533,69579,4782133
2025-07-11,69579,70159,69429,69699,4873155
2025-07-14,69699,69741,69186,69492,7418728
2025-07-15,69492,69707,68774,69250,3766428
2025-07-16,69250,69584,68415,68901,3642994
2025-07-17,68901,69052,68830,69008,5874756
2025-07-18,69008,69666,68828,69193,7639380
2025-07-21,69193,69704,69080,69622,5541244
2025-07-22,69622,70157,68870,69369,2146987
2025-07-23,69369,69586,68834,69365,2163160
2025-07-24,69365,70052,69333,69822,5978884
2025-07-25,69822,70264,69321,69962,4922482
2025-07-28,69962,70137,69623,69698,7918196
2025-07-29,69698,70289,69445,70067,4027261
2025-07-30,70067,70452,69583,70194,7292893
2025-07-31,70194,70521,69854,70335,2926886
2025-08-01,70335,71414,69875,70862,4058153
